Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo Switch","Games","Owned","1-2-Switch","United Kingdom","Official","Nintendo","Nintendo","Party","27 mar 2026","CIB","8,57","11,04","20,61","11,04","-1.0",1.0,1.0,1.0,"","","58",
"Nintendo Switch","Games","Owned","Animal Crossing: New Horizons","United States of America","Official","Nintendo","Nintendo","Life Sim","10 may 2024","Boxed","38,54","39,49","45,45","39,49","-1.0",1.0,1.0,?,"","","90",
"Nintendo Switch","Games","Owned","Axiom Verge","United States of America","Official","Badland Games","Thomas Happ Games","Action","14 abr 2021","Boxed","18,79","20,48","46,99","20,48","-1.0",1.0,1.0,?,"","","87",
"Nintendo Switch","Games","Owned","Bloodstained: Ritual of the Night","United States of America","Official","505 Games","ArtPlay","Action, Adventure, RPG, Platformer, Horror","14 abr 2021","Boxed","17,48","18,48","25,53","18,48","-1.0",1.0,1.0,?,"","","74",
"Nintendo Switch","Games","Owned","Crash Team Racing: Nitro-Fueled","United States of America","Official","Activision","Beenox Studios","Racing","25 nov 2025","CIB","13,58","14,37","20,35","14,37","-1.0",1.0,1.0,1.0,"","","80",
"Nintendo Switch","Games","Owned","Demon Slayer: Kimetsu no Yaiba - The Hinokami Chronicles","United States of America","Official","Sega","CyberConnect2 Co., Ltd.","Action, Fighting","4 ago 2024","CIB","24,74","29,32","36,9","29,32","-1.0",1.0,1.0,1.0,"","","74",
"Nintendo Switch","Games","Owned","Detective Pikachu Returns","United States of America","Official","Nintendo","Creatures, Inc.","Adventure, Puzzle","22 sept 2024","CIB","21,49","24","29,47","24","-1.0",1.0,1.0,1.0,"","","66",
"Nintendo Switch","Games","Owned","Diablo III: Eternal Collection","United States of America","Official","Blizzard Entertainment","Blizzard Entertainment","Action, RPG","7 nov 2021","Boxed","18,5","20,44","30,58","20,44","-1.0",1.0,1.0,?,"","","88",
"Nintendo Switch","Games","Owned","Donkey Kong Country: Tropical Freeze","United States of America","Official","Nintendo","Retro Studios","Platformer","14 abr 2021","Boxed","28,55","30,49","39,47","30,49","-1.0",1.0,1.0,?,"","","86",
"Nintendo Switch","Games","Owned","Dragon Ball FighterZ","United States of America","Official","Bandai Namco Entertainment","ARC System Works","Action, Fighting","14 abr 2021","Boxed","14","14,94","21,99","14,94","-1.0",1.0,1.0,?,"","","87",
"Nintendo Switch","Games","Owned","Dragon Ball: Xenoverse 2","United States of America","Official","Bandai Namco Entertainment","Dimps Corporation","Action, Fighting","14 abr 2021","Boxed","12,75","15,13","22,99","15,13","-1.0",1.0,1.0,?,"","","75",
