Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Nintendo Switch","Games","Owned","Mario vs. Donkey Kong","United States of America","Official","Nintendo","Nintendo Software Technology","Action, Puzzle, Platformer","24 may 2025","CIB","28,58","29,88","33,71","29,88","-1.0",1.0,1.0,1.0,"","","76",
"Nintendo Switch","Games","Owned","Mega Man 11","United States of America","Official","Capcom","Capcom","Action, Platformer","14 abr 2021","Boxed","13,9","15,49","21,66","15,49","-1.0",1.0,1.0,?,"","","80",
"Nintendo Switch","Games","Owned","MegaMan Legacy Collection 1 + 2","United States of America","Official","Capcom","Digital Eclipse Software, Inc.","Action, Platformer","14 abr 2021","Boxed","25,25","27,76","34,56","27,76","-1.0",1.0,1.0,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Metro Redux","United States of America","Official","Deep Silver, KOCH Media","4A Games","Action","4 ago 2024","CIB","17,52","17,98","25,49","17,98","-1.0",1.0,1.0,1.0,"","","80",
"Nintendo Switch","Games","Owned","Metroid Prime Remastered","United States of America","Official","Nintendo","Iron Galaxy Studios, Retro Studios","Action, Adventure, Platformer","24 jul 2024","New","30,49","31,1","37,5","37,5","-1.0",?,1.0,?,"","","94",
"Nintendo Switch","Games","Owned","Minecraft","United States of America","Official","Nintendo, Xbox Game Studios","Mojang, Skybox Labs","Action, Adventure, Sandbox","31 dic 2024","CIB","16,98","19,03","20,62","19,03","-1.0",1.0,1.0,1.0,"","","86",
"Nintendo Switch","Games","Owned","Minecraft Legends [Deluxe Edition]","United Kingdom","Official","Mojang AB","Missing Field","Action, Strategy","1 may 2025","CIB","20,75","25,37","38,07","25,37","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Mortal Kombat 11","United States of America","Official","WB Games","NetherRealm Studios, Shiver Games","Fighting","14 abr 2021","Boxed","14,49","15,23","18,55","15,23","-1.0",1.0,1.0,?,"","","78",
"Nintendo Switch","Games","Owned","MXGP3","United States of America","Official","Milestone S.r.l","Milestone S.r.l.","Racing","14 abr 2021","Boxed","14,47","15,5","23,49","15,5","-1.0",1.0,1.0,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","NBA 2K18","United States of America","Official","Take-Two Interactive Software, Inc.","Visual Concepts","Sports","14 abr 2021","Boxed","7,91","8,21","10,5","8,21","-1.0",1.0,1.0,?,"","","74",
"Nintendo Switch","Games","Owned","NBA 2K19","United States of America","Official","2K Games","Visual Concepts","Sports","14 abr 2021","Loose","6,49","10,57","15,25","6,49","-1.0",1.0,?,?,"","","82",
"Nintendo Switch","Games","Owned","NBA 2K20","United States of America","Official","2K","Visual Concepts","Sports","4 ago 2024","CIB","8,08","8,48","18,85","8,48","-1.0",1.0,1.0,1.0,"","","73",
"Nintendo Switch","Games","Owned","Need for Speed: Hot Pursuit Remastered","United States of America","Official","Electronic Arts","Criterion Games","Racing","25 nov 2025","CIB","22,93","23,5","37,95","23,5","-1.0",1.0,1.0,1.0,"","","74",
"Nintendo Switch","Games","Owned","New Pokémon Snap","United States of America","Official","Nintendo","Bandai Namco Entertainment","Adventure, First-person shooter","4 oct 2024","CIB","35,49","37,97","40,29","37,97","-1.0",1.0,1.0,1.0,"","","79",
"Nintendo Switch","Games","Owned","New Super Lucky's Tale","United States of America","Official","Nintendo, Playful Corp.","Playful Corp.","Action, Adventure, Platformer","14 abr 2021","Boxed","17,43","17,64","28,89","17,64","-1.0",1.0,1.0,?,"","","76",
"Nintendo Switch","Games","Owned","New Super Mario Bros. U Deluxe","United States of America","Official","Nintendo","Nintendo","Action, Adventure, Platformer","14 abr 2021","Boxed","32,88","34,61","41,18","34,61","-1.0",1.0,1.0,?,"","","80",
"Nintendo Switch","Systems","Owned","Nintendo Switch Lite [Zacian and Zamazenta Edition]","United States of America","Official","Nintendo","Nintendo","Missing Field","27 ago 2024","CIB","165,5","171,92","315,5","171,92","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Controllers","Owned","Nintendo Switch Pro Controller","United States of America","Official","Nintendo","Nintendo","Missing Field","1 jul 2025","CIB","25,43","28,8","40,49","28,8","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Controllers","Owned","Nintendo Switch Pro Controller [Super Smash Bros. Ultimate Edition]","United States of America","Official","Nintendo","Missing Field","Missing Field","1 jul 2025","Loose","35,49","52,89","73","35,49","-1.0",1.0,?,?,"","","Missing Field",
"Nintendo Switch","Games","Owned","Nintendo Switch Sports","United States of America","Official","Nintendo","Nintendo EPD","Action, Sports, Family, Party","4 ago 2024","CIB","30,49","30,64","35,47","30,64","-1.0",1.0,1.0,1.0,"","","72",
"Nintendo Switch","Systems","Owned","Nintendo Switch with Blue and Red Joy-con","United States of America","Official","Nintendo","Missing Field","Missing Field","2 jul 2025","CIB","140,5","172,03","208,69","172,03","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Ori and the Will of the Wisps","United States of America","Official","Xbox Game Studios, iam8bit","Moon Studios","Action, Platformer","5 jun 2025","CIB","20,48","20,5","35,49","20,5","-1.0",1.0,0.9,1.0,"","","93",
"Nintendo Switch","Games","Owned","Overcooked! 2","United States of America","Official","Team17 Software Limited","Ghost Town Games Ltd.","Management Sim, Strategy","4 ago 2024","CIB","19,44","19,48","27,99","19,48","-1.0",1.0,1.0,1.0,"","","81",
"Nintendo Switch","Games","Owned","Owlboy","United States of America","Official","Soedesco","D-Pad Studios","Platformer","14 abr 2021","Boxed","12,44","14,3","20,45","14,3","-1.0",1.0,1.0,?,"","","87",
"Nintendo Switch","Games","Owned","Paw Patrol The Movie: Adventure City Calls","United States of America","Official","Outright Games","Drakhar Studio","Adventure, Family","4 ago 2024","CIB","9,65","12,97","17,48","12,97","-1.0",1.0,1.0,1.0,"","","Missing Field",
"Nintendo Switch","Games","Owned","Penny-Punching Princess","United States of America","Official","NIS America, Inc.","Nippon Ichi Software Inc.","Action, RPG","14 abr 2021","Boxed","15,29","15,85","24,42","15,85","-1.0",1.0,1.0,?,"","","63",
